INPUT:image,n_workers,acc
img_619.png,3.0,1.0
img_621.png,5.0,0.8
img_623.png,4.0,0.25
img_625.png,3.0,0.6666666666666666
img_627.png,4.0,1.0
img_629.png,2.0,1.0
img_63.png,3.0,0.6666666666666666
img_631.png,2.0,1.0
img_633.png,4.0,0.5
img_635.png,4.0,1.0
img_637.png,5.0,0.8
img_639.png,5.0,0.8
img_641.png,4.0,1.0
img_643.png,4.0,1.0
img_645.png,2.0,0.0
img_647.png,4.0,1.0
img_649.png,5.0,0.8
img_65.png,3.0,1.0
img_651.png,2.0,0.5
img_653.png,3.0,0.6666666666666666
img_655.png,3.0,1.0
img_657.png,5.0,0.8
img_659.png,3.0,0.6666666666666666
img_661.png,3.0,1.0
img_663.png,3.0,0.3333333333333333
img_665.png,4.0,0.75
img_667.png,3.0,0.6666666666666666
img_669.png,5.0,1.0
img_67.png,2.0,0.0
img_671.png,4.0,1.0
img_673.png,3.0,0.6666666666666666
img_675.png,2.0,1.0
img_677.png,3.0,1.0
img_679.png,4.0,1.0
img_681.png,1.0,1.0
img_683.png,4.0,1.0
img_685.png,4.0,0.5
img_687.png,4.0,0.5
img_689.png,3.0,1.0
img_69.png,2.0,0.0
img_691.png,3.0,1.0
img_693.png,3.0,1.0
img_695.png,5.0,0.8
img_697.png,5.0,0.8
img_699.png,4.0,0.25
img_7.png,5.0,0.8
img_701.png,3.0,0.3333333333333333
img_703.png,5.0,0.8
img_705.png,3.0,1.0
img_707.png,5.0,0.8
img_709.png,2.0,1.0
img_71.png,3.0,0.6666666666666666
img_711.png,4.0,1.0
img_713.png,4.0,0.75
img_715.png,5.0,0.4
img_717.png,4.0,0.5
img_719.png,1.0,0.0
img_721.png,5.0,0.2
img_723.png,4.0,1.0
img_725.png,3.0,0.3333333333333333
img_727.png,3.0,1.0
img_729.png,3.0,0.6666666666666666
img_73.png,2.0,1.0
img_731.png,4.0,0.25
img_733.png,3.0,0.3333333333333333
img_735.png,4.0,0.5
img_737.png,4.0,1.0
img_739.png,3.0,1.0
img_741.png,5.0,0.2
img_743.png,4.0,0.75
img_745.png,3.0,0.6666666666666666
img_747.png,5.0,1.0
img_749.png,3.0,0.3333333333333333
img_75.png,5.0,1.0
img_751.png,4.0,1.0
img_753.png,3.0,0.6666666666666666
img_755.png,4.0,0.5
img_757.png,3.0,1.0
img_759.png,5.0,1.0
img_761.png,3.0,1.0
img_763.png,4.0,1.0
img_765.png,5.0,0.8
img_767.png,3.0,1.0
img_769.png,5.0,0.6
img_77.png,4.0,0.5
img_771.png,4.0,1.0
img_773.png,5.0,0.6
img_775.png,3.0,0.6666666666666666
img_777.png,3.0,1.0
img_779.png,2.0,1.0
img_781.png,2.0,0.0
img_783.png,5.0,1.0
img_785.png,3.0,0.0
img_787.png,4.0,0.25
img_789.png,5.0,0.8
img_79.png,3.0,1.0
img_791.png,3.0,0.3333333333333333
img_793.png,4.0,0.5
img_795.png,4.0,0.5
img_797.png,4.0,0.75
img_799.png,5.0,0.8
img_801.png,3.0,0.3333333333333333
img_803.png,3.0,1.0
img_805.png,5.0,1.0
img_807.png,4.0,1.0
img_809.png,5.0,0.6
img_81.png,4.0,0.75
img_811.png,3.0,0.0
img_813.png,2.0,1.0
img_815.png,5.0,0.6
img_817.png,4.0,0.75
img_819.png,2.0,1.0
img_821.png,3.0,1.0
img_823.png,4.0,0.5
