INPUT:image,n_workers,acc
40924.png,3.0,0.6666666666666666
40925.png,3.0,1.0
40926.png,3.0,0.6666666666666666
40927.png,4.0,1.0
40928.png,2.0,0.5
40929.png,5.0,0.6
40930.png,4.0,0.5
40931.png,3.0,1.0
40932.png,2.0,1.0
40933.png,3.0,0.6666666666666666
40934.png,2.0,1.0
40935.png,2.0,0.5
40936.png,3.0,1.0
40937.png,4.0,1.0
40938.png,3.0,0.6666666666666666
40939.png,4.0,0.75
40940.png,3.0,1.0
40941.png,2.0,1.0
40942.png,4.0,0.75
40943.png,5.0,1.0
40944.png,4.0,1.0
40945.png,4.0,1.0
40946.png,5.0,1.0
40947.png,4.0,0.75
40948.png,3.0,1.0
40949.png,4.0,1.0
40950.png,5.0,0.8
40951.png,4.0,1.0
40952.png,4.0,0.25
40953.png,3.0,1.0
40954.png,4.0,0.5
40955.png,3.0,0.3333333333333333
40956.png,4.0,0.75
40957.png,2.0,0.5
40958.png,4.0,0.75
40959.png,4.0,1.0
40960.png,4.0,1.0
40961.png,5.0,1.0
40962.png,4.0,1.0
40963.png,4.0,0.5
40964.png,3.0,0.6666666666666666
40965.png,3.0,0.6666666666666666
40966.png,4.0,1.0
40967.png,5.0,0.8
40968.png,3.0,1.0
40969.png,3.0,1.0
40970.png,4.0,0.75
40971.png,4.0,0.75
40972.png,3.0,1.0
40973.png,4.0,1.0
40974.png,3.0,0.6666666666666666
40975.png,3.0,1.0
40976.png,5.0,1.0
40977.png,4.0,1.0
40978.png,3.0,1.0
40979.png,3.0,0.3333333333333333
40980.png,3.0,1.0
40981.png,3.0,0.6666666666666666
40982.png,3.0,1.0
40983.png,5.0,1.0
40984.png,2.0,0.0
40985.png,4.0,0.75
40986.png,4.0,0.5
40987.png,3.0,1.0
40988.png,4.0,1.0
40989.png,4.0,0.75
40990.png,5.0,1.0
40991.png,4.0,1.0
40992.png,4.0,0.75
40993.png,5.0,1.0
40994.png,3.0,0.6666666666666666
40995.png,4.0,0.0
40996.png,4.0,0.75
40997.png,4.0,1.0
40998.png,4.0,1.0
40999.png,4.0,0.75
41000.png,4.0,0.5
